target,replicate,fastq1,fastq2,control1,control2
AFF1-human,1,https://www.encodeproject.org/files/ENCFF267LVE/@@download/ENCFF267LVE.fastq.gz,https://www.encodeproject.org/files/ENCFF452EKB/@@download/ENCFF452EKB.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
AFF1-human,2,https://www.encodeproject.org/files/ENCFF270SAL/@@download/ENCFF270SAL.fastq.gz,https://www.encodeproject.org/files/ENCFF861EEE/@@download/ENCFF861EEE.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz
AFF1-human,3,https://www.encodeproject.org/files/ENCFF404ITD/@@download/ENCFF404ITD.fastq.gz,https://www.encodeproject.org/files/ENCFF792VBK/@@download/ENCFF792VBK.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz
AFF1-human,4,https://www.encodeproject.org/files/ENCFF916BZF/@@download/ENCFF916BZF.fastq.gz,https://www.encodeproject.org/files/ENCFF930PKX/@@download/ENCFF930PKX.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
ARHGAP35-human,1,https://www.encodeproject.org/files/ENCFF111ZWV/@@download/ENCFF111ZWV.fastq.gz,https://www.encodeproject.org/files/ENCFF129HKI/@@download/ENCFF129HKI.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz
ARHGAP35-human,2,https://www.encodeproject.org/files/ENCFF333JPS/@@download/ENCFF333JPS.fastq.gz,https://www.encodeproject.org/files/ENCFF439UUP/@@download/ENCFF439UUP.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz
ARID1B-human,1,https://www.encodeproject.org/files/ENCFF065YSO/@@download/ENCFF065YSO.fastq.gz,https://www.encodeproject.org/files/ENCFF680HKS/@@download/ENCFF680HKS.fastq.gz,https://www.encodeproject.org/files/ENCFF502GTS/@@download/ENCFF502GTS.fastq.gz,https://www.encodeproject.org/files/ENCFF498JMO/@@download/ENCFF498JMO.fastq.gz
ARID1B-human,2,https://www.encodeproject.org/files/ENCFF143XOC/@@download/ENCFF143XOC.fastq.gz,https://www.encodeproject.org/files/ENCFF575FWJ/@@download/ENCFF575FWJ.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz
ARID1B-human,3,https://www.encodeproject.org/files/ENCFF521KBW/@@download/ENCFF521KBW.fastq.gz,https://www.encodeproject.org/files/ENCFF718FBA/@@download/ENCFF718FBA.fastq.gz,https://www.encodeproject.org/files/ENCFF837MIV/@@download/ENCFF837MIV.fastq.gz,https://www.encodeproject.org/files/ENCFF259GQA/@@download/ENCFF259GQA.fastq.gz
ARID2-human,1,https://www.encodeproject.org/files/ENCFF272DKU/@@download/ENCFF272DKU.fastq.gz,https://www.encodeproject.org/files/ENCFF808AUX/@@download/ENCFF808AUX.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz
